"FAST School of Computing, NUCES, Islamabad",,,,,,,,,
"Allocation of Computing Theory Courses, Spring-2023",,,,,,,,,
S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator,,,
,,,,H,Dr. Muneeb Ullah,,,,
,,,,J,Mr. Shoaib Saleem,,,,
BS Batch 2021,,,,,,,,,
,CS-2005,Database Systems (CS),3,CS-4A/Y,Dr. Shujaat Hussain,Dr. Shujaat Hussain,,,
,,,,CS-4B/Z,Dr. Shujaat Hussain,,,,
,,,,CS-4C/D,Ms. Noor ul Ain,,,,
,,,,CS-4E/V,Dr. Amna Basharat,,,,
,,,,CS-4F/H,Ms. Noor ul Ain,,,,
,,,,CS-4G,Ms. Noor ul Ain,,,,
,CS-2006,Operating Systems (CS),3,CS-4A/Y,Dr. Adnan Tariq,Dr. Faisal Cheema,,,
,,,,CS-4B/Z,Dr. Faisal Cheema,,,,
,,,,CS-4C/D,Mr. Shoaib Mehboob,,,,
,,,,CS-4E/V,Mr. Shoaib Mehboob,,,,
,,,,CS-4F/H,Mr. Shoaib Mehboob,,,,
,,,,CS-4G,Dr. Faisal Cheema,,,,
,CS-2009,Design and Analysis of Algorithms (CS),3,CS-4A/Y,Mr. Owais Idrees,Dr. Kashif Munir,,,
,,,,CS-4B/Z,Ms. Nirmal Tariq,,,,
,,,,CS-4C/D,Dr. Kashif Munir,,,,
,,,,CS-4E/V,Dr. Kashif Munir,,,,
,,,,CS-4F/H,Ms. Nirmal Tariq,,,,
,,,,CS-4G,Mr. Owais Idrees,,,,
,AI-2002,Artificial Intelligence (AI),3,AI-4J,Mr. Umair Arshad,Mr. Umair Arshad,,,
,,,,AI-4K,Mr. Umair Arshad,,,,
,CS-2004,Fundamentals of Software Engineering (AI),3,AI-4J,Ms. Saba Kanwal,Ms. Saba Kanwal,,,
,,,,AI-4K,Ms. Saba Kanwal,,,,
,CS-2005,Database Systems (AI),3,AI-4J,Ms. Ayesha Kamran,Ms. Ayesha Kamran,,,
,,,,AI-4K,Ms. Ayesha Kamran,,,,
,EE-2003,Computer Organization and Assembly Language (AI),3,AI-4J,Ms. Mehreen Javaid,Ms. Mehreen Javaid,,,
,,,,AI-4K,Ms. Mehreen Javaid,,,,
,CS-2005,Database Systems (DS),3,DS-4M,Dr. Waseem Shahzad,Dr. Ramoza Ahsan,,,
,,,,DS-4N,Dr. Ramoza Ahsan,,,,
,CS-2004,Fundamentals of Software Engineering (DS),3,DS-4M,Dr. Uzair Iqbal,Dr. Uzair Iqbal,,,
,,,,DS-4N,Dr. Uzair Iqbal,,,,
,,,,DS-4U,Dr. Uzair Iqbal,,,,
,DS-2003,Advanced Statistics (DS),3,DS-4M,Dr. Ahmed Din,Dr. Ahmed Din,,,
,,,,DS-4N,Dr. Ahmed Din,,,,
,,,,DS-4U,Dr. Ahmed Din,,,,
,DS-2004,Fundamentals of Big Data Analytics (DS),3,DS-4M,Dr. Kifayat Ullah Khan,Dr. Kifayat Ullah Khan,,,
,,,,DS-4N,Dr. Kifayat Ullah Khan,,,,
,,,,DS-4U,Dr. M. Ishtiaq,,,,
